source_id,road_section_id,timestamp,vehicle_type,volume,volume_err,screening,validation,resolved_volume,resolved_volume_err,relative_diff,relative_diff_err
127407,2229003069,2026-03-25,TOTAL,25775.0,128.875,accepted,rejected,25429.758,46.70951,0.013576306,0.0053904797
127408,2228004411,2026-03-25,TOTAL,22018.0,110.09,accepted,verified,21978.521,14.7670765,0.0017962316,0.0050538424
128601,3403003406,2026-03-25,TOTAL,23345.0,116.725,disputed,verified,23479.283,88.77663,-0.0057192207,0.006245902
128602,3401003407,2026-03-25,TOTAL,23863.0,119.315,accepted,verified,23812.736,222.91406,0.0021107895,0.010617739
128603,3404004154,2026-03-25,TOTAL,5689.0,28.445,accepted,verified,5696.979,46.38343,-0.0014005676,0.009550825
128604,1734003405,2026-03-25,TOTAL,2738.0,13.69,accepted,verified,2738.0,0.0,0.0,0.005
128605,3402001977,2026-03-25,TOTAL,2284.0,11.42,accepted,dismissed,2286.433,39.79706,-0.001064149,0.018108191
128606,5507003408,2026-03-25,TOTAL,6044.0,30.22,accepted,dismissed,6028.9863,83.7613,0.002490248,0.014769659
128607,10253010254,2026-03-25,TOTAL,344.0,1.72,accepted,verified,343.9514,5.1130896,0.0001413412,0.015684294
129001,4411004172,2026-03-25,TOTAL,15147.0,75.735,accepted,verified,15227.317,19.967194,-0.005274559,0.0051435796
129002,4412004169,2026-03-25,TOTAL,14991.0,74.955,accepted,verified,15067.244,25.574091,-0.005060258,0.0052562878
129003,4413001624,2026-03-25,TOTAL,8603.0,43.015,accepted,verified,8647.965,34.024025,-0.005199471,0.006341902
