LOCPOST;timestamp;total_rows;reconstructed_rows;volume_TOTAL;volume_PW;volume_VR;volume_PAE;vol_rec_total;vol_rec_kl_gaten;vol_rec_geslvak;vol_rec_typed;avg_availability;pct_rows_reconstructed;pct_vol_reconstructed;pct_vol_reco_kl_gaten;pct_vol_reco_geslvak;pct_vol_reco_typed
129505;2026-03-25;1;1;19133;12926;6207;25340.0;19133.0;0.0;0.0;19133.0;100.0;100.0;100.0;0.0;0.0;100.0
129506;2026-03-25;1;1;20816;13599;7217;28033.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153301;2026-03-25;1;1;24215;15730;8485;32700.0;242.15;242.15;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
153302;2026-03-25;1;0;9571;6061;3510;13081.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
153303;2026-03-25;1;0;12875;8552;4323;17198.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
153401;2026-03-25;1;1;23829;15459;8370;32199.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153402;2026-03-25;1;1;9639;6084;3555;13194.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153403;2026-03-25;1;0;12930;8587;4343;17273.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
153501;2026-03-25;1;1;24252;15268;8984;33236.0;9943.320000000002;485.04;9458.28;0.0;100.0;100.0;41.0;2.0;39.0;0.0
153502;2026-03-25;1;1;24966;14591;10375;35341.0;4743.54;0.0;4743.54;0.0;100.0;100.0;19.0;0.0;19.0;0.0
153601;2026-03-25;1;1;24612;15117;9495;34107.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153602;2026-03-25;1;1;25422;14892;10530;35952.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153701;2026-03-25;1;1;24712;14873;9839;34551.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153801;2026-03-25;1;1;22001;13214;8787;30788.0;220.01;220.01;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
153901;2026-03-25;1;1;22005;12368;9637;31642.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
153902;2026-03-25;1;1;22573;12357;10216;32789.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
154001;2026-03-25;1;1;22068;12570;9498;31566.0;220.68;220.68;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
154002;2026-03-25;1;1;22280;12467;9813;32093.0;222.8;222.8;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
154101;2026-03-25;1;1;22919;13659;9260;32179.0;1604.3300000000002;0.0;1604.3300000000002;0.0;100.0;100.0;7.0;0.0;7.0;0.0
154201;2026-03-25;1;1;23559;14006;9553;33112.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
